model,horizon,selection_method,weighting_scheme,rebalance_frequency,turnover_cap,gross_return,net_return,sharpe,max_drawdown,turnover,annualized_volatility,return_per_unit_turnover,mean_IC,quantile_spread
tree,20,topk,equal,1,False,-0.009284064241118717,-0.009353767567171212,-0.156617602534254,-0.16152559843428738,0.0005586592178770949,0.0597236033231031,-16.743243945236472,0.01021951979489251,-0.0017791915761458802
tree,20,topk,equal,5,False,-0.009284064241118717,-0.009353767567171212,-0.156617602534254,-0.16152559843428738,0.0005586592178770949,0.0597236033231031,-16.743243945236472,0.01021951979489251,-0.0017791915761458802
tree,20,topk,equal,10,False,-0.009284064241118717,-0.009353767567171212,-0.156617602534254,-0.16152559843428738,0.0005586592178770949,0.0597236033231031,-16.743243945236472,0.01021951979489251,-0.0017791915761458802
ranker,20,topk,equal,1,True,-0.009333255404772256,-0.00940286407953772,-0.15744497171152652,-0.1615255984342865,0.0005586592178770949,0.05972159019956392,-16.831126702372522,0.03084095064210951,0.002567897834511522
tree,20,topk,equal,1,True,-0.009333255404772256,-0.00940286407953772,-0.15744497171152652,-0.1615255984342865,0.0005586592178770949,0.05972159019956392,-16.831126702372522,0.01021951979489251,-0.0017791915761458802
ranker,20,topk,equal,5,True,-0.009374143007933156,-0.009443839178426838,-0.1582170213398816,-0.1615255984342876,0.0005586592178770949,0.05968914784547482,-16.904472129384043,0.03084095064210951,0.002567897834511522
tree,20,topk,equal,5,True,-0.009374143007933156,-0.009443839178426838,-0.1582170213398816,-0.1615255984342876,0.0005586592178770949,0.05968914784547482,-16.904472129384043,0.01021951979489251,-0.0017791915761458802
tree,20,topk,signal,5,True,-0.0062379692140071,-0.01057021592199392,-0.15900269643537307,-0.2085855237029296,0.034674489461361487,0.06647821803632244,-0.30484128493867324,0.01021951979489251,-0.0017791915761458802
ranker,20,topk,equal,10,True,-0.009568859955678577,-0.009638633510529737,-0.16151147760627432,-0.16152559843428693,0.0005586592178770949,0.05967770002096309,-17.253153983848232,0.03084095064210951,0.002567897834511522
tree,20,topk,equal,10,True,-0.009568859955678577,-0.009638633510529737,-0.16151147760627432,-0.16152559843428693,0.0005586592178770949,0.05967770002096309,-17.253153983848232,0.01021951979489251,-0.0017791915761458802
ranker,10,quintile,signal,10,False,-0.009099669966121438,-0.010273162488255716,-0.18187172202330038,-0.15392581295032393,0.00940594024628302,0.056485760259858186,-1.0921994207134582,0.028483120471291725,0.0027379479648458422
ranker,10,quintile,signal,10,True,-0.009509253802565287,-0.010678873232005004,-0.18921050517192317,-0.15392581295032381,0.009378235574163962,0.05643911379181517,-1.1386868188110097,0.028483120471291725,0.0027379479648458422
ranker,10,quintile,signal,5,False,-0.008781060710056798,-0.010940384610475085,-0.19382923741155522,-0.15783948847459128,0.01730703584011848,0.05644341770403555,-0.6321350872293675,0.028483120471291725,0.0027379479648458422
ranker,10,quintile,signal,5,True,-0.008927088200773259,-0.011079841684943803,-0.19642241504897204,-0.15783948847458995,0.017256759654860506,0.056408234682286014,-0.6420580634222993,0.028483120471291725,0.0027379479648458422
ranker,10,topk,signal,10,False,-0.011181380199441482,-0.012310812028940799,-0.19861418130937297,-0.16267912435972143,0.009070411904363106,0.061983549954898555,-1.3572495007662193,0.028483120471291725,0.0027379479648458422
ranker,20,quintile,signal,10,False,-0.010138865639693684,-0.01121932636909162,-0.20107827160283734,-0.1564756968180383,0.00866626345332166,0.055795816622353084,-1.2945978886427005,0.03084095064210951,0.002567897834511522
ranker,10,topk,signal,5,False,-0.010477333924212018,-0.01255006031262107,-0.20254568251206076,-0.15688409261789837,0.01663950498323856,0.061961628393998304,-0.7542327926980459,0.028483120471291725,0.0027379479648458422
ranker,10,topk,signal,5,True,-0.010579099728372676,-0.012645419592947849,-0.20419782857727786,-0.15688409261789893,0.016589818426628846,0.06192729707780531,-0.762239782724221,0.028483120471291725,0.0027379479648458422
ranker,10,topk,signal,10,True,-0.011568209364929971,-0.012694069195699598,-0.20496230721366493,-0.16232291289759337,0.009044677583825132,0.06193367633428591,-1.4034849863969483,0.028483120471291725,0.0027379479648458422
ranker,20,quintile,signal,10,True,-0.010553985453855885,-0.011630574394213111,-0.20862415887002203,-0.15647569681803797,0.008638135894761374,0.05574893366716577,-1.346421790060806,0.03084095064210951,0.002567897834511522
tree,20,decile,signal,1,False,-0.0030565435263126828,-0.01912542384391125,-0.20995450367012294,-0.3621683549298541,0.128954653566264,0.09109318213988303,-0.1483112343369877,0.01021951979489251,-0.0017791915761458802
tree,20,decile,signal,1,True,-0.0030909992144763088,-0.01915276632715357,-0.2102563466949957,-0.362168354929853,0.1289020024677128,0.09109245275215001,-0.14858393167282974,0.01021951979489251,-0.0017791915761458802
ranker,20,topk,signal,10,False,-0.012209134611545824,-0.01323207170375651,-0.21597698737118262,-0.17322527156646905,0.008220860447366175,0.0612661185101892,-1.6095725974761974,0.03084095064210951,0.002567897834511522
ranker,20,quintile,signal,5,False,-0.010296313043621441,-0.012220800790001984,-0.21916809339508572,-0.15941565229211208,0.015444208628111307,0.05575994480169167,-0.7912869532050917,0.03084095064210951,0.002567897834511522
ranker,20,quintile,signal,5,True,-0.010459727414218745,-0.012378823606923772,-0.2221426908493616,-0.15941565229211252,0.015403234643512594,0.05572464959163587,-0.8036509144614883,0.03084095064210951,0.002567897834511522
ranker,20,topk,signal,10,True,-0.012598765050874428,-0.013617822264768487,-0.22244872808101215,-0.17285123101848976,0.008192173121302953,0.06121780233245074,-1.662296690161083,0.03084095064210951,0.002567897834511522
